,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
258539,559654,15036,ASSORTED COLOURS SILK FAN,24,11-07-2011 12:54,0.83,13098.0,United Kingdom
519164,580136,21242,RED RETROSPOT PLATE ,1,01-12-2011 19:42,1.69,17841.0,United Kingdom
307467,563917,22423,REGENCY CAKESTAND 3 TIER,2,21-08-2011 13:46,12.75,14572.0,United Kingdom
519367,580146,21481,FAWN BLUE HOT WATER BOTTLE,5,02-12-2011 10:07,8.29,,United Kingdom
422889,573123,23319,BOX OF 6 MINI 50'S CRACKERS,6,27-10-2011 16:23,2.49,13654.0,United Kingdom
354060,567858,21181,PLEASE ONE PERSON METAL SIGN,1,22-09-2011 13:50,2.1,16813.0,United Kingdom
81808,543178,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,6,04-02-2011 10:31,2.95,14911.0,EIRE
19872,537900,22113,GREY HEART HOT WATER BOTTLE,2,09-12-2010 10:45,3.75,15983.0,United Kingdom
206110,554866,23298,SPOTTY BUNTING,3,27-05-2011 10:41,4.95,13488.0,United Kingdom
415743,572549,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,1,24-10-2011 17:03,1.25,,United Kingdom
86838,C543603,22941,CHRISTMAS LIGHTS 10 REINDEER,-2,10-02-2011 13:40,8.5,15570.0,United Kingdom
531889,580978,84879,ASSORTED COLOUR BIRD ORNAMENT,160,06-12-2011 15:36,1.45,13078.0,United Kingdom
200588,554147,23084,RABBIT NIGHT LIGHT,6,23-05-2011 10:48,2.08,12423.0,Belgium
385674,570210,23183,MOTHER'S KITCHEN SPOON REST ,2,09-10-2011 10:48,3.75,13259.0,United Kingdom
22091,538153,21494,ROTATING LEAVES T-LIGHT HOLDER,1,09-12-2010 16:31,5.91,,United Kingdom
287506,562104,23206,LUNCH BAG APPLE DESIGN,3,02-08-2011 14:31,4.96,,United Kingdom
288701,562203,21974,SET OF 36 PAISLEY FLOWER DOILIES,10,03-08-2011 12:50,1.45,16102.0,United Kingdom
483070,577490,22946,WOODEN ADVENT CALENDAR CREAM,1,20-11-2011 12:11,16.95,16464.0,United Kingdom
213380,555538,21535,RED RETROSPOT SMALL MILK JUG,4,05-06-2011 12:39,2.55,14512.0,United Kingdom
57849,541219,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",2,14-01-2011 14:06,2.46,,United Kingdom
534818,581173,51014A,"FEATHER PEN,HOT PINK",12,07-12-2011 15:07,0.39,17870.0,United Kingdom
166372,550914,22668,PINK BABY BUNTING,50,21-04-2011 13:29,2.55,17061.0,United Kingdom
2493,536592,20752,BLUE POLKADOT WASHING UP GLOVES,1,01-12-2010 17:06,4.21,,United Kingdom
275202,560938,20961,STRAWBERRY BATH SPONGE ,1,22-07-2011 11:16,2.46,,United Kingdom
340698,566713,22138,BAKING SET 9 PIECE RETROSPOT ,3,14-09-2011 12:05,4.95,15933.0,United Kingdom
406331,571747,21755,LOVE BUILDING BLOCK WORD,3,19-10-2011 10:59,6.25,13849.0,United Kingdom
403786,571653,22219,LOVEBIRD HANGING DECORATION WHITE ,24,18-10-2011 12:17,0.72,14298.0,United Kingdom
373740,569360,23165,LARGE CERAMIC TOP STORAGE JAR,8,03-10-2011 14:59,1.65,14653.0,United Kingdom
260932,559816,85054,FRENCH ENAMEL POT W LID,1,12-07-2011 16:11,5.79,,United Kingdom
272939,560773,21850,BLUE  DIAMANTE PEN IN GIFT BOX,1,20-07-2011 16:17,2.46,,United Kingdom
105384,545222,22854,CREAM SWEETHEART EGG HOLDER,4,01-03-2011 08:49,4.95,13880.0,United Kingdom
418102,572695,23333,IVORY WICKER HEART MEDIUM,12,25-10-2011 14:23,1.25,12610.0,Italy
25050,538351,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,26,10-12-2010 15:17,6.77,,United Kingdom
170060,551276,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,4,27-04-2011 13:06,2.95,16016.0,United Kingdom
464116,576078,23236,STORAGE TIN VINTAGE DOILY ,2,13-11-2011 16:22,2.89,14432.0,United Kingdom
138555,548203,22745,POPPY'S PLAYHOUSE BEDROOM ,37,29-03-2011 16:40,4.95,,United Kingdom
184612,552702,21395,BLUE POLKADOT BEAKER ,3,10-05-2011 16:00,1.63,,United Kingdom
344222,566987,POST,POSTAGE,4,16-09-2011 10:56,18.0,12476.0,Germany
16175,537645,22196,SMALL HEART MEASURING SPOONS,1,07-12-2010 15:34,1.66,,United Kingdom
304822,563613,85212,MINI PAINTED GARDEN DECORATION ,48,18-08-2011 08:49,0.29,12688.0,Israel
72833,542268,85049G,CHOCOLATE BOX RIBBONS ,12,27-01-2011 08:30,1.25,15358.0,United Kingdom
134016,547816,21926,RED/CREAM STRIPE CUSHION COVER ,1,25-03-2011 14:30,1.25,12748.0,United Kingdom
464862,576189,23265,SET OF 3 WOODEN TREE DECORATIONS,3,14-11-2011 11:33,1.25,14684.0,United Kingdom
257402,559526,21749,LARGE RED RETROSPOT WINDMILL,1,10-07-2011 11:19,2.1,15756.0,United Kingdom
496306,578344,23084,RABBIT NIGHT LIGHT,97,24-11-2011 09:21,2.08,,United Kingdom
150165,549353,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,08-04-2011 11:21,8.95,13962.0,United Kingdom
388524,570442,22634,CHILDS BREAKFAST SET SPACEBOY ,1,10-10-2011 14:37,9.95,16549.0,United Kingdom
222744,556459,21231,SWEETHEART CERAMIC TRINKET BOX,12,10-06-2011 17:25,2.46,,United Kingdom
122862,546888,35915C,PEACH KNITTED HEN ,3,17-03-2011 18:15,0.83,,United Kingdom
406926,571840,84836,ZINC METAL HEART DECORATION,12,19-10-2011 12:16,1.25,13590.0,United Kingdom
182730,C552570,21464,DISCO BALL ROTATOR BATTERY OPERATED,-2,10-05-2011 12:07,4.25,15676.0,United Kingdom
181649,552508,22183,CAKE STAND VICTORIAN FILIGREE MED,2,09-05-2011 16:27,5.79,,United Kingdom
162690,550514,21888,BINGO SET,4,18-04-2011 16:49,3.75,14631.0,United Kingdom
279532,561330,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,24,26-07-2011 14:03,0.55,16019.0,United Kingdom
314383,564634,47566,PARTY BUNTING,8,26-08-2011 12:36,4.95,14210.0,United Kingdom
250868,559051,22229,BUNNY WOODEN PAINTED WITH FLOWER ,1,05-07-2011 16:47,0.83,,United Kingdom
306162,563738,22614,PACK OF 12 SPACEBOY TISSUES,2,18-08-2011 19:13,0.29,15024.0,United Kingdom
395873,571046,23203,JUMBO BAG VINTAGE DOILY ,1,13-10-2011 13:35,2.08,18096.0,United Kingdom
235368,557636,23275,SET OF 3 HANGING OWLS OLLIE BEAK,2,21-06-2011 15:41,1.25,17841.0,United Kingdom
454457,575576,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,10-11-2011 11:45,0.55,16025.0,United Kingdom
430228,573584,23283,DOORMAT VINTAGE LEAF,10,31-10-2011 14:36,7.08,16705.0,United Kingdom
311453,564301,22560,TRADITIONAL MODELLING CLAY,24,24-08-2011 11:54,1.25,14299.0,United Kingdom
430603,573585,22339,CHRISTMAS TREE PAINTED ZINC ,20,31-10-2011 14:41,0.63,,United Kingdom
407209,571849,15036,ASSORTED COLOURS SILK FAN,12,19-10-2011 12:52,0.83,12841.0,United Kingdom
514740,579744,23010,CIRCUS PARADE BABY GIFT SET,1,30-11-2011 14:38,16.95,,United Kingdom
533591,581074,23503,PLAYING CARDS KEEP CALM & CARRY ON,4,07-12-2011 11:27,1.25,15568.0,United Kingdom
106993,545399,22485,SET OF 2 WOODEN MARKET CRATES,2,02-03-2011 11:48,12.75,14934.0,Channel Islands
356001,567981,20719,WOODLAND CHARLOTTE BAG,21,23-09-2011 11:22,2.46,,United Kingdom
197208,553890,22363,GLASS JAR MARMALADE ,1,19-05-2011 16:32,5.79,,United Kingdom
219313,556091,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,08-06-2011 15:25,4.13,,United Kingdom
279923,561369,22907,PACK OF 20 NAPKINS PANTRY DESIGN,1,26-07-2011 16:22,1.63,,United Kingdom
528284,580729,22364,GLASS JAR DIGESTIVE BISCUITS,2,05-12-2011 17:24,5.79,,United Kingdom
407688,571909,16008,SMALL FOLDING SCISSOR(POINTED EDGE),6,19-10-2011 15:08,0.12,15006.0,United Kingdom
306779,563843,21731,RED TOADSTOOL LED NIGHT LIGHT,24,19-08-2011 14:02,1.65,17811.0,United Kingdom
296771,562932,20728,LUNCH BAG CARS BLUE,2,10-08-2011 16:39,1.65,16904.0,United Kingdom
450366,575176,22249,DECORATION WHITE CHICK MAGIC GARDEN,1,08-11-2011 18:29,1.63,,United Kingdom
296170,562852,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,10-08-2011 10:12,1.65,13050.0,United Kingdom
89372,543907,22383,LUNCH BAG SUKI  DESIGN ,1,14-02-2011 12:16,1.65,17346.0,United Kingdom
194243,C553560,M,Manual,-1,17-05-2011 17:14,293.0,14931.0,Channel Islands
505987,579109,23498,CLASSIC BICYCLE CLIPS ,12,28-11-2011 11:45,1.45,16705.0,United Kingdom
467937,576379,35970,ZINC FOLKART SLEIGH BELLS,36,15-11-2011 09:21,1.69,16423.0,United Kingdom
473599,576837,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,16-11-2011 15:16,2.46,,United Kingdom
497577,578427,22467,GUMBALL COAT RACK,6,24-11-2011 12:11,2.55,15034.0,United Kingdom
432058,573808,21754,HOME BUILDING BLOCK WORD,3,01-11-2011 11:29,6.25,14419.0,United Kingdom
115630,546136,22076,6 RIBBONS EMPIRE  ,1,09-03-2011 16:32,3.29,,United Kingdom
516941,580024,20718,RED RETROSPOT SHOPPER BAG,10,01-12-2011 11:51,1.25,15172.0,United Kingdom
252270,559106,23006,TRAVEL CARD WALLET FLOWER MEADOW,2,06-07-2011 11:10,0.42,15889.0,United Kingdom
163467,550579,22037,ROBOT BIRTHDAY CARD,24,19-04-2011 11:52,0.42,13266.0,United Kingdom
459152,575867,23157,SET OF 6 NATIVITY MAGNETS ,3,11-11-2011 12:44,2.08,15034.0,United Kingdom
457871,575748,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,18,11-11-2011 10:21,5.79,,United Kingdom
317175,564758,22341,LOVE GARLAND PAINTED ZINC ,1,30-08-2011 10:39,1.65,,United Kingdom
123669,546911,21668,RED STRIPE CERAMIC DRAWER KNOB,12,17-03-2011 19:47,1.25,17725.0,United Kingdom
243597,558475,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,2,29-06-2011 15:58,0.83,,United Kingdom
445396,574839,23284,DOORMAT KEEP CALM AND COME IN,1,07-11-2011 11:40,8.25,15493.0,United Kingdom
538004,581381,84946,ANTIQUE SILVER T-LIGHT GLASS,6,08-12-2011 12:54,1.25,16933.0,United Kingdom
478507,577088,23269,SET OF 2 CERAMIC CHRISTMAS TREES,48,17-11-2011 15:59,1.45,15267.0,United Kingdom
46350,540352,90161D,ANT COPPER PINK BOUDICCA BRACELET,1,06-01-2011 14:27,5.09,,United Kingdom
55730,540995,20996,JAZZ HEARTS ADDRESS BOOK,2,13-01-2011 09:30,0.83,,United Kingdom
343891,566976,23311,VINTAGE CHRISTMAS STOCKING ,12,16-09-2011 09:27,2.55,15382.0,United Kingdom
512894,579520,22748,POPPY'S PLAYHOUSE KITCHEN,1,29-11-2011 18:14,2.1,12748.0,United Kingdom
146087,548971,21524,DOORMAT SPOTTY HOME SWEET HOME,3,05-04-2011 11:29,7.95,16919.0,United Kingdom
126489,547080,22857,ASSORTED EASTER GIFT TAGS,24,20-03-2011 15:06,0.85,15445.0,United Kingdom
27619,538566,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,13-12-2010 11:21,0.85,,United Kingdom
103127,545053,22417,PACK OF 60 SPACEBOY CAKE CASES,1,27-02-2011 12:41,0.55,17516.0,United Kingdom
49244,540509,21481,FAWN BLUE HOT WATER BOTTLE,5,09-01-2011 11:27,2.95,14800.0,United Kingdom
484823,577543,22211,WOOD STAMP SET FLOWERS,12,20-11-2011 14:40,0.83,17636.0,United Kingdom
457350,575739,22340,NOEL GARLAND PAINTED ZINC ,14,11-11-2011 09:05,0.83,,United Kingdom
304260,563566,21935,SUKI  SHOULDER BAG,10,17-08-2011 14:25,1.65,13655.0,United Kingdom
524466,580559,21889,WOODEN BOX OF DOMINOES,12,05-12-2011 10:24,1.25,15628.0,United Kingdom
197785,553935,20676,RED RETROSPOT BOWL,24,20-05-2011 10:32,1.25,15856.0,United Kingdom
392176,570688,84991,60 TEATIME FAIRY CAKE CASES,1,11-10-2011 16:29,1.25,,United Kingdom
143573,548708,84461,12 PINK HEN+CHICKS IN BASKET,1,03-04-2011 12:41,2.55,13269.0,United Kingdom
372060,569230,22697,GREEN REGENCY TEACUP AND SAUCER,6,02-10-2011 15:07,2.95,16533.0,United Kingdom
180520,552324,22635,CHILDS BREAKFAST SET DOLLY GIRL ,6,09-05-2011 09:46,9.95,16672.0,United Kingdom
27957,538591,22457,NATURAL SLATE HEART CHALKBOARD ,12,13-12-2010 11:44,2.95,14741.0,United Kingdom
419476,572830,16161P,WRAP ENGLISH ROSE ,25,26-10-2011 11:36,0.42,16208.0,United Kingdom
9834,537219,22949,36 DOILIES DOLLY GIRL,1,05-12-2010 15:47,1.45,14081.0,United Kingdom
136938,548006,20728,LUNCH BAG CARS BLUE,10,29-03-2011 10:50,1.65,18226.0,United Kingdom
487394,577768,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,6,21-11-2011 15:18,2.46,,United Kingdom
473223,576784,22649,STRAWBERRY FAIRY CAKE TEAPOT,3,16-11-2011 13:40,4.95,16204.0,United Kingdom
121912,546791,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,17-03-2011 10:38,2.95,17716.0,United Kingdom
460870,575930,22438,BALLOON ART MAKE YOUR OWN FLOWERS,5,11-11-2011 17:58,4.13,,United Kingdom
126011,547063,22382,LUNCH BAG SPACEBOY DESIGN ,4,20-03-2011 13:33,1.65,14769.0,United Kingdom
108200,545518,85187,S/12 MINI RABBIT EASTER,12,03-03-2011 12:24,1.65,18218.0,United Kingdom
272290,560772,21802,CHRISTMAS TREE HEART DECORATION,1,20-07-2011 16:12,0.42,,United Kingdom
534957,581176,23118,PARISIENNE JEWELLERY DRAWER ,16,07-12-2011 15:19,6.65,14646.0,Netherlands
195954,553766,21937,STRAWBERRY   PICNIC BAG,2,19-05-2011 10:44,5.79,,United Kingdom
309978,564150,85099B,JUMBO BAG RED RETROSPOT,10,23-08-2011 12:30,2.08,14936.0,Channel Islands
212300,555471,23300,GARDENERS KNEELING PAD CUP OF TEA ,3,03-06-2011 11:42,1.65,16117.0,United Kingdom
318458,564835,20733,GOLD MINI TAPE MEASURE ,1,30-08-2011 12:31,0.83,,United Kingdom
413792,572321,23296,SET OF 6 TEA TIME BAKING CASES,8,24-10-2011 08:59,1.25,15592.0,United Kingdom
37635,539473,22569,FELTCRAFT CUSHION BUTTERFLY,4,19-12-2010 14:24,3.75,14911.0,EIRE
