Unnamed: 0,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
526086,580647,23480,MINI LIGHTS WOODLAND MUSHROOMS,6,2011-12-05 13:14:00,3.75,14083.0,United Kingdom,22.5
82672,543246,21056,DOCTOR'S BAG SOFT TOY,1,2011-02-04 14:14:00,8.95,17315.0,United Kingdom,8.95
104086,545140,22467,GUMBALL COAT RACK,6,2011-02-28 12:08:00,2.55,12464.0,Belgium,15.299999999999999
362347,568428,22555,PLASTERS IN TIN STRONGMAN,1,2011-09-27 11:27:00,1.65,14419.0,United Kingdom,1.65
293734,C562613,23175,REGENCY MILK JUG PINK ,-3,2011-08-08 12:11:00,3.25,15228.0,United Kingdom,-9.75
232190,557309,84692,BOX OF 24 COCKTAIL PARASOLS,25,2011-06-19 15:15:00,0.42,16493.0,United Kingdom,10.5
309084,564061,85173,SET/6 FROG PRINCE T-LIGHT CANDLES,2,2011-08-22 14:38:00,2.55,14505.0,United Kingdom,5.1
152979,549718,22570,FELTCRAFT CUSHION RABBIT,4,2011-04-11 15:03:00,3.75,13846.0,United Kingdom,15.0
241023,558123,22727,ALARM CLOCK BAKELIKE RED ,4,2011-06-27 10:16:00,3.75,15834.0,United Kingdom,15.0
417380,572653,23207,LUNCH BAG ALPHABET DESIGN,4,2011-10-25 12:12:00,1.65,15861.0,United Kingdom,6.6
411719,572227,22629,SPACEBOY LUNCH BOX ,2,2011-10-21 14:01:00,1.95,15051.0,United Kingdom,3.9
175086,551879,85066,CREAM SWEETHEART MINI CHEST,6,2011-05-05 08:33:00,12.75,13831.0,United Kingdom,76.5
377912,569570,22699,ROSES REGENCY TEACUP AND SAUCER ,192,2011-10-05 10:06:00,2.55,16684.0,United Kingdom,489.59999999999997
68906,541880,21213,PACK OF 72 SKULL CAKE CASES,120,2011-01-24 10:38:00,0.42,13819.0,United Kingdom,50.4
483507,577504,21889,WOODEN BOX OF DOMINOES,2,2011-11-20 12:36:00,1.25,14159.0,United Kingdom,2.5
255590,559357,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-07-07 18:56:00,3.75,17107.0,United Kingdom,3.75
500833,578810,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-11-25 13:27:00,4.95,16814.0,United Kingdom,9.9
